№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
181,,4225218,142192,70,59,63,192,2,0,194,не нужд.,нет,7,,,0,,,,нет,,Участвует в конкурсе,
182,,4114474,140363,70,58,66,194,0,0,194,нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
183,,3680480,131591,64,64,63,191,3,0,194,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
184,,3760611,136172,74,71,48,193,0,0,193,нужд.,нет,1,6,,0,,,,нет,,Участвует в конкурсе,
185,,4010592,137595,70,62,61,193,0,0,193,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
186,,4134629,139388,64,64,60,188,5,0,193,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
187,,3648462,131361,52,71,70,193,0,0,193,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
188,,3872216,142399,64,64,64,192,0,0,192,не нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
189,,3898130,135381,72,59,60,191,0,0,191,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
190,,4134651,140291,70,64,57,191,0,0,191,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
191,,4188807,141665,64,59,66,189,2,0,191,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
192,,3710147,131953,64,54,73,191,0,0,191,нужд.,нет,1,4,,0,,,,нет,,На рассмотрении,
193,,4221509,142110,74,44,67,185,5,0,190,нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
194,,3896722,136553,72,49,69,190,0,0,190,не нужд.,нет,1,2,,0,,,,нет,1,На рассмотрении,
195,,4109100,139959,70,62,58,190,0,0,190,нужд.,нет,6,,,0,,,,нет,,Участвует в конкурсе,
196,,3939180,140518,70,54,66,190,0,0,190,нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
197,,3560347,139805,74,61,54,189,0,0,189,нужд.,нет,6,,,0,,,,нет,,Участвует в конкурсе,
198,,4107577,139868,72,62,55,189,0,0,189,не нужд.,нет,2,,,0,,,,нет,,Участвует в конкурсе,
199,,4255592,142900,64,62,63,189,0,0,189,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
200,,3729515,136773,64,59,66,189,0,0,189,нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
201,,4250523,142776,72,73,43,188,0,0,188,нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
202,,3959054,141698,74,56,57,187,0,0,187,нужд.,нет,1,,,0,,,,нет,,Участвует в конкурсе,
203,,3562038,130259,64,56,67,187,0,0,187,нужд.,да,1,,,0,,,,нет,,На рассмотрении,
204,,4048042,138572,70,64,52,186,0,0,186,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
205,,3904562,135505,58,56,72,186,0,0,186,нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
206,,4173620,141338,74,54,55,183,2,0,185,нужд.,нет,3,,,0,,,,нет,,Участвует в конкурсе,
207,,3695519,131827,72,58,55,185,0,0,185,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
208,,4221578,142108,70,58,57,185,0,0,185,не нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
209,,4106272,139775,64,64,55,183,2,0,185,нужд.,нет,3,7,,0,,,,нет,,Участвует в конкурсе,
210,,4102365,136650,64,56,57,177,8,0,185,не нужд.,нет,5,,,0,,,,нет,,На рассмотрении,
211,,3998335,140579,72,58,54,184,0,0,184,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
212,,3856840,134385,72,51,61,184,0,0,184,не нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
213,,4225724,142226,70,61,48,179,5,0,184,не нужд.,нет,1,9,,0,,,,нет,,Участвует в конкурсе,
214,,3850582,134255,70,48,66,184,0,0,184,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
215,,4021002,142164,70,56,57,183,0,0,183,нужд.,нет,1,3,,0,,,,нет,,Участвует в конкурсе,
216,,3667844,131399,64,64,55,183,0,0,183,нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
217,,3589909,135179,52,61,70,183,0,0,183,нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
218,,3986474,137187,70,58,54,182,0,0,182,нужд.,нет,3,,,0,,,,нет,,На рассмотрении,
219,,3730183,139559,64,56,60,180,2,0,182,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
220,,4145616,140524,64,54,64,182,0,0,182,нужд.,нет,4,,,0,,,,нет,,Участвует в конкурсе,
221,,4151365,140675,64,54,61,179,2,0,181,нужд.,нет,1,,,0,,,,нет,1,Участвует в конкурсе,
222,,3902131,137379,72,56,52,180,0,0,180,не нужд.,нет,5,,,0,,,,нет,,Участвует в конкурсе,
223,,3846378,134081,64,59,57,180,0,0,180,не нужд.,нет,1,,,0,,,,нет,,На рассмотрении,
224,,3683491,131982,64,58,58,180,0,0,180,нужд.,нет,4,,,0,,,,нет,,На рассмотрении,
225,,4026101,138021,72,54,51,177,2,0,179,не нужд.,да,26,,21,0,,,,нет,,На рассмотрении,
226,,3777474,132956,64,54,61,179,0,0,179,не нужд.,нет,1,1,,0,,,,нет,1,На рассмотрении,
